,ID,Title,Type,Venue Name,Venue ID,Venue ISBN,Venue Acronym,Venue Presented At,Venue Extra,Venue Map Name,Venue Map ID,Citations,Collaborations,Experiments,Classification,Year,Citations 1992,Citations 1993,Citations 1994,Citations 1995,Citations 1996,Citations 1997,Citations 1998,Citations 1999,Citations 2000,Citations 2001,Citations 2002,Citations 2003,Citations 2004,Citations 2005,Citations 2006,Citations 2007,Citations 2008,Citations 2009,Citations 2010,Citations 2011,Citations 2012,Citations 2013,Citations 2014,Citations 2015,Citations 2016,Citations 2017,Citations 2018,Citations 2019,Citations 2020
35,405976,ATLAS barrel hadron calorimeter: JINR group activity (July-September 1995),hep;core;conferencepaper,NA,,,,,"Dubna JINR - 95-500 (95/12,rec.Apr.96) 8 p.",NA,NA,,,CERN-LHC-ATLAS,Instrumentation,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,407146,Prototype results from a straw tracker with integrated transition radiation capability for the ATLAS experiment at the LHC,published;conferencepaper;hep;core;citeable,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,1,,CERN-LHC-ATLAS,Instrumentation,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,407156,The ATLAS inner detector silicon tracker,published;conferencepaper;hep;core;citeable,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,1,,CERN-LHC-ATLAS,Instrumentation,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,407165,Readout electronics development for the ATLAS silicon tracker,hep;core;conferencepaper;citeable,Nucl.Instrum.Meth.,407140,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,1,,CERN-RD-002;CERN-LHC-ATLAS,Instrumentation,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,407181,The ATLAS trigger / DAQ system,published;conferencepaper;hep;core;citeable,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,3,,CERN-LHC-ATLAS,Instrumentation,1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
40,407199,Radiation studies and operational projections for silicon in the ATLAS inner detector,published;conferencepaper;hep;core;citeable,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,65,,CERN-LHC-ATLAS,Instrumentation,1995,0,0,0,4,7,7,6,8,6,2,3,1,4,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0
41,407844,$B$ physics in ATLAS,published;conferencepaper;hep;core;citeable,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,6,ATLAS,CERN-LHC-ATLAS,,1995,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,407851,The L2 trigger for the ATLAS detector at the LHC,published;conferencepaper;hep;core;citeable,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,1,,CERN-LHC-ATLAS,Instrumentation,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,407855,LHC silicon strip detector readout,published;conferencepaper;hep;core;citeable,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,,,CERN-LHC-LHCb;CERN-LHC-ATLAS,Instrumentation,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,407862,Transition radiation trackers for the ATLAS and HERA-B experiments,published;conferencepaper;hep;core;citeable,Nucl.Instrum.Meth.,,,,,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,13913,6,,CERN-LHC-ATLAS,Instrumentation,1995,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,409490,A CMOS current preamplifier and shaper with 50 Omega line driver for liquid argon preshower,published;conferencepaper;hep;core;citeable,IEEE Trans.Nucl.Sci.,409462,,,,,,,3,,CERN-LHC-ATLAS,,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,409640,The level-1 muon trigger algorithm of the ATLAS experiment,hep;core;conferencepaper,NA,433649,,,Prepared for,"#DONE:In *Pavia 1995, Resistive plate chambers and related detectors* 91-100",NA,NA,,,CERN-LHC-ATLAS,,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,409646,A test of the ATLAS first level muon trigger logic,note;hep;core;conferencepaper,NA,433649,,,Prepared for,,NA,NA,,RD27;ATLAS,CERN-LHC-ATLAS;CERN-RD-027,,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,409897,Analog pipeline readout for ATLAS calorimetry,hep;core;conferencepaper;citeable,Nucl.Phys.Proc.Suppl.,,,,,,NUCLEAR PHYSICS B-PROCEEDINGS SUPPLEMENTS,13921,,,CERN-LHC-ATLAS,Instrumentation,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
