,ID,Title,Type,Venue Name,Venue ID,Venue ISBN,Venue Acronym,Venue Presented At,Venue Extra,Venue Map Name,Venue Map ID,Citations,Collaborations,Experiments,Classification,Year,Citations 1991,Citations 1992,Citations 1993,Citations 1994,Citations 1995,Citations 1996,Citations 1997,Citations 1998,Citations 1999,Citations 2000,Citations 2001,Citations 2002,Citations 2003,Citations 2004,Citations 2005,Citations 2006,Citations 2007,Citations 2008,Citations 2009,Citations 2010,Citations 2011,Citations 2012,Citations 2013,Citations 2014,Citations 2015,Citations 2016,Citations 2017,Citations 2018,Citations 2019,Citations 2020
32,499566,The Detection of gravitational waves with LIGO,conferencepaper;hep;core;citeable;arxiv,NA,1668127,,,Talk given at,,NA,NA,6,,LIGO,Gravitation and Cosmology,1999,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,506844,Notes on anelastic effects and thermal noise in suspensions of test masses in interferometric gravitational wave detectors,hep;core;citeable;arxiv,NA,,,,,,NA,NA,1,,LIGO,Instrumentation,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,506845,Optimization of thermal noise in multiloop pendulum suspensions for use in interferometric gravitational wave detectors,hep;core;citeable;arxiv,NA,,,,,,NA,NA,,,LIGO,Instrumentation,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,516049,Signal extraction and length sensing for LIGO II RSE,hep;core;conferencepaper;citeable,AIP Conf.Proc.,535669,,,Prepared for,,AIP CONFERENCE PROCEEDINGS,907,,,LIGO,,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,516059,Active seismic isolation for enhanced LIGO detectors,hep;core;conferencepaper;citeable,AIP Conf.Proc.,535669,,,Prepared for,,AIP CONFERENCE PROCEEDINGS,907,1,,LIGO,,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,516062,New Seismic Attenuation System (SAS) for the advanced LIGO configurations (LIGO2),hep;core;conferencepaper;citeable,AIP Conf.Proc.,535669,,,Prepared for,,AIP CONFERENCE PROCEEDINGS,907,2,,LIGO,,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
38,516098,LIGO end-to-end simulation program,hep;core;conferencepaper;citeable,AIP Conf.Proc.,535669,,,Prepared for,,AIP CONFERENCE PROCEEDINGS,907,,,LIGO,,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,528725,Suspensions thermal noise in LIGO gravitational wave detector,published;hep;core;citeable;arxiv,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,28,,LIGO,Gravitation and Cosmology,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,3,0,3,1,2,2,4,4
40,530499,Tumbleweeds and airborne gravitational noise sources for LIGO,published;hep;core;citeable;arxiv,Class.Quant.Grav.,,,,,,CLASSICAL AND QUANTUM GRAVITY,3723,41,,LIGO,Gravitation and Cosmology,2000,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,3,2,1,0,2,2,4,3,3,6,4,6
41,541846,LIGO: Status and plans,conferencepaper;hep;core;lectures;citeable,ICTP Lect.Notes Ser.,561654,,,Prepared for,,,,,,LIGO,Instrumentation,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
